num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
100,nan,nan,0.9598146273137949,nan,14,nan,23,nan,nan,nan,6,7,192,nan,nan,nan
150,nan,nan,0.9411785669799101,nan,21,nan,30,nan,nan,nan,6,7,192,nan,nan,nan
200,nan,nan,0.9229043502092339,nan,28,nan,37,nan,nan,nan,6,7,192,nan,nan,nan
250,nan,nan,0.9049849513342254,nan,35,nan,44,nan,nan,nan,6,7,192,nan,nan,nan
300,nan,nan,0.8874134810998915,nan,42,nan,51,nan,nan,nan,6,7,192,nan,nan,nan
350,nan,nan,0.8701831840151673,nan,49,nan,58,nan,nan,nan,6,7,192,nan,nan,nan
400,nan,nan,0.8509006871954947,nan,57,nan,66,nan,nan,nan,6,7,192,nan,nan,nan
450,nan,nan,0.8343793339117893,nan,64,nan,73,nan,nan,nan,6,7,192,nan,nan,nan
500,nan,nan,0.8181787643792697,nan,71,nan,80,nan,nan,nan,6,7,192,nan,nan,nan
20,nan,nan,0.9926247102437163,nan,2,nan,11,nan,nan,nan,6,7,192,nan,nan,nan
22,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,5,6,156,nan,nan,nan
24,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,5,6,156,nan,nan,nan
26,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,6,7,192,nan,nan,nan
28,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,6,7,192,nan,nan,nan
30,nan,nan,0.9870794927591325,nan,4,nan,13,nan,nan,nan,5,6,156,nan,nan,nan
40,nan,nan,0.9843185115710352,nan,5,nan,14,nan,nan,nan,6,7,192,nan,nan,nan
50,nan,nan,0.9788196959920604,nan,7,nan,16,nan,nan,nan,6,7,192,nan,nan,nan
60,nan,nan,0.976081818458389,nan,8,nan,17,nan,nan,nan,6,7,192,nan,nan,nan
70,nan,nan,0.9733515991006005,nan,9,nan,18,nan,nan,nan,6,7,192,nan,nan,nan
80,nan,nan,0.9679140492891968,nan,11,nan,20,nan,nan,nan,6,7,192,nan,nan,nan
90,nan,nan,0.9652066761734693,nan,12,nan,21,nan,nan,nan,6,7,192,nan,nan,nan
100,nan,nan,0.9598146273137949,nan,14,nan,23,nan,nan,nan,6,7,192,nan,nan,nan
150,nan,nan,0.9411785669799103,nan,21,nan,30,nan,nan,nan,6,7,192,nan,nan,nan
200,nan,nan,0.9229043502092346,nan,28,nan,37,nan,nan,nan,6,7,192,nan,nan,nan
250,nan,nan,0.9049849513342255,nan,35,nan,44,nan,nan,nan,6,7,192,nan,nan,nan
300,nan,nan,0.8874134810998919,nan,42,nan,51,nan,nan,nan,6,7,192,nan,nan,nan
350,nan,nan,0.8701831840151671,nan,49,nan,58,nan,nan,nan,6,7,192,nan,nan,nan
400,nan,nan,0.8509006871954944,nan,57,nan,66,nan,nan,nan,6,7,192,nan,nan,nan
450,nan,nan,0.8343793339117893,nan,64,nan,73,nan,nan,nan,6,7,192,nan,nan,nan
500,nan,nan,0.8181787643792696,nan,71,nan,80,nan,nan,nan,6,7,192,nan,nan,nan
550,nan,nan,0.8022927501605145,nan,78,nan,87,nan,nan,nan,6,7,192,nan,nan,nan
600,nan,nan,0.78671518375139,nan,85,nan,94,nan,nan,nan,6,7,192,nan,nan,nan
650,nan,nan,0.7714400762329657,nan,92,nan,101,nan,nan,nan,6,7,192,nan,nan,nan
700,nan,nan,0.7564615549690314,nan,99,nan,108,nan,nan,nan,6,7,192,nan,nan,nan
750,nan,nan,0.7396990297952065,nan,107,nan,116,nan,nan,nan,6,7,192,nan,nan,nan
800,nan,nan,0.7253368025943557,nan,114,nan,123,nan,nan,nan,6,7,192,nan,nan,nan
850,nan,nan,0.7112534368788673,nan,121,nan,130,nan,nan,nan,6,7,192,nan,nan,nan
